mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,cpu_1
20,17,1992,3624,0.49
15,12,9912,9528,0.76
19,17,15264,4584,0.68
19,17,2536,1224,0.56
11,6,2984,808,0.66
13,7,8248,1800,0.58
4,0,840,1192,0.65
13,8,2984,392,0.49
11,6,6968,328,0.58
2,0,696,616,0.59
18,14,8504,2280,0.61
18,15,13536,1128,0.57
18,14,4584,11448,0.66
20,17,15264,13536,0.72
8,4,1800,840,0.55
2,0,1608,808,0.61
6,1,3368,808,0.58
18,15,11064,5992,0.55
22,19,12576,2856,0.66
20,17,7480,13536,0.66
7,2,1320,1064,0.52
15,12,9912,6200,0.57
8,2,6968,2024,0.72
24,20,15840,15840,0.7
10,4,2536,3240,0.72
3,0,904,1192,0.56
8,4,2792,3624,0.62
6,1,2792,1416,0.59
15,11,11832,2280,0.66
13,7,1800,712,0.6
11,6,6712,504,0.78
18,14,11448,8504,0.67
24,20,7480,6712,0.71
5,0,224,568,0.63
13,7,10680,1800,0.52
24,20,16992,7224,0.6
4,0,2280,288,0.68
7,2,840,32,0.71
5,0,4136,176,0.6
26,20,18336,1544,0.66
5,0,4264,776,0.61
24,20,7480,776,0.6
7,2,3880,1096,0.49
22,19,19848,11448,0.68
11,6,7992,808,0.67
2,0,1992,1288,0.61
8,4,4968,2216,0.57
13,7,7992,3240,0.76
15,11,6200,6200,0.69
18,15,1608,7992,0.62
15,9,5992,2664,0.66
20,17,7992,5736,0.52
20,18,6200,5544,0.55
25,20,22920,4008,0.63
15,10,5992,296,0.7
15,12,8248,3496,0.63
15,11,9144,1224,0.51
7,2,2984,776,0.75
15,11,256,680,0.49
15,11,8248,4008,0.62
6,1,2984,1160,0.71
6,1,1736,344,0.52
8,4,5992,1064,0.57
13,7,7224,4392,0.63
11,6,7992,3240,0.57
8,2,5160,256,0.53
11,6,2280,4968,0.57
13,8,9528,5992,0.69
11,6,6200,4392,0.73
25,20,23688,5544,0.66
25,20,10296,12216,0.61
13,7,10680,3240,0.55
3,0,2152,488,0.59
24,20,25456,4776,0.66
